Designator,Mid X,Mid Y,Rotation,Layer
BT1,174.1,-100.6,0.0,top
D1_2,91.171784,-73.76473,100.0,top
D1,91.171784,-73.76473,80.0,bottom
D10_2,148.74337,-71.36602,90.0,top
D10,148.74337,-71.36602,90.0,bottom
D10A1,148.743371,-71.36602,90.0,bottom
D11_2,148.717653,-87.998234,90.0,top
D11,148.717653,-87.998234,90.0,bottom
D11A1,148.717653,-87.998233,90.0,bottom
D12_2,148.842751,-104.832257,90.0,top
D12,148.842751,-104.832257,90.0,bottom
D12A1,148.842752,-104.832258,90.0,bottom
D13_2,166.875249,-71.547392,90.0,top
D13,166.875249,-71.547392,90.0,bottom
D13A1,166.87525,-71.547392,90.0,bottom
D14_2,166.976553,-89.043489,90.0,top
D14,166.976553,-89.043489,90.0,bottom
D14A1,166.976554,-89.043489,90.0,bottom
D15_2,167.229634,-105.806324,90.0,top
D15,167.229634,-105.806324,90.0,bottom
D15A1,167.229635,-105.806324,90.0,bottom
D16_2,147.748788,-126.861488,75.0,top
D16,147.748784,-126.861488,105.0,bottom
D16A1,147.74878430302155,-126.86148956776448,105.0,bottom
D17_2,165.255211,-136.868973,60.0,top
D17,165.255208,-136.868975,120.0,bottom
D17A1,165.255207,-136.8689742115813,120.0,bottom
D18_2,179.333476,-150.782081,45.0,top
D18,179.333476,-150.782081,135.0,bottom
D18A1,179.33347183632077,-150.78208116367924,135.0,bottom
D1A1,91.17178044308899,-73.76473046102349,80.0,bottom
D2_2,74.578754,-102.89869,100.0,top
D2,74.578754,-102.89869,80.0,bottom
D2A1,74.578753443089,-102.89869046102349,80.0,bottom
D3_2,95.480321,-116.627746,100.0,top
D3,95.480321,-116.627746,80.0,bottom
D3A1,95.47510744308899,-116.59820246102349,80.0,bottom
D4_2,110.081825,-70.440534,94.0,top
D4,110.081825,-70.440534,86.0,bottom
D4A1,110.08182183503487,-70.44053396851008,86.0,bottom
D5_2,90.059764,-84.734485,100.0,top
D5,90.059764,-84.734486,80.0,bottom
D5A1,90.059763443089,-84.7344854610235,80.0,bottom
D6_2,112.429143,-103.332631,94.0,top
D6,112.429143,-103.332631,86.0,bottom
D6A1,112.42913983503487,-103.33263196851007,86.0,bottom
D7_2,112.585725,-60.454019,90.0,top
D7,112.585725,-60.454019,90.0,bottom
D7A1,112.585726,-60.454019,90.0,bottom
D8_2,113.243665,-78.006429,90.0,top
D8,113.243665,-78.006429,90.0,bottom
D8A1,113.243665,-78.00643,90.0,bottom
D9_2,121.334187,-99.84681,180.0,top
D9,121.334187,-99.84681,0.0,bottom
D9A1,121.334191,-99.846809,0.0,bottom
S1,79.69134292029929,-79.20087506686704,350.0,bottom
S10,139.735164,-63.091578,0.0,bottom
S11,139.735164,-80.091578,0.0,bottom
S12,139.735165,-97.091578,0.0,bottom
S13,157.735165,-65.641578,0.0,bottom
S14,157.735165,-82.641578,0.0,top
S15,157.735165,-99.641578,0.0,bottom
S16,140.4345104217768,-119.28422526901952,15.0,bottom
S17,160.138189,-127.62876740978203,30.0,bottom
S18,176.91151830920367,-140.26189169079632,45.0,bottom
S2,82.6433619202993,-95.94260706686704,350.0,bottom
S3,85.59538092029929,-112.68433906686704,350.0,bottom
S4,100.55477852089086,-64.50363406429847,356.0,bottom
S5,101.74063952089087,-81.46222306429848,356.0,bottom
S6,102.92649852089086,-98.42081106429848,356.0,bottom
S7,121.735165,-54.591577,0.0,bottom
S8,121.735166,-71.591578,0.0,bottom
S9,121.735165,-88.591578,0.0,bottom
SW1,171.2,-60.975,180.0,top
SW2,171.2,-60.975,180.0,bottom
U1,182.954714,-78.58578,0.0,top
U2,181.6,-100.599999,270.0,top
